0.2478206 -0.2815924 0.3152067 -0.3688815 0.3533611 -0.3340469 0.2657646 -0.3390164 0.2132786 -0.1847951 0.2284488 -0.1912987 0.1186782 0.1380595 -0.01677937
0.2536003 -0.3160101 0.2949101 -0.2803087 0.1434438 -0.06695477 -0.08722782 0.1886253 -0.2120521 0.2414526 -0.4182124 0.3679323 -0.2794802 -0.3308793 -0.03001255
0.2571382 -0.3309718 0.2081372 -0.07654348 -0.1507915 0.2887972 -0.2891495 0.3826619 -0.2202111 0.1121218 0.1821896 -0.1918712 0.3576935 0.3979496 0.146962
0.2600472 -0.3082589 0.07677435 0.145881 -0.3292345 0.3474895 -0.126179 -0.07514947 0.30551 -0.3417789 0.2053412 -0.1496056 -0.3622555 -0.3300165 -0.2112521
0.2610365 -0.2637394 -0.08519072 0.3168318 -0.3166117 0.03795576 0.2012669 -0.4389788 0.1511635 0.1008643 -0.3196351 0.3648468 0.2632702 0.2052853 0.2000258
